dataset,accuracy_ours,transform_time,accuracy_published,time_training_seconds,time_test_seconds,diff
PhalangesOutlinesCorrect,0.8263403263403264,0.11005425453186035,0.84223,3.29,0.35,-0.015889673659673642
Phoneme,0.24578059071729957,0.5299203395843506,0.271871,0.62,3.11,-0.0260904092827004
PigAirwayPressure,0.1875,0.2675957679748535,0.872756,0.66,0.72,-0.685256
PigArtPressure,0.9759615384615384,0.26012659072875977,0.9625,0.65,0.73,0.013461538461538414
PigCVP,0.7932692307692307,0.2708117961883545,0.91859,0.67,0.74,-0.1253207692307693
Plane,1.0,0.0380096435546875,1.0,0.18,0.06,0.0
PowerCons,0.9888888888888889,0.052496910095214844,0.983704,0.24,0.09,0.0051848888888889055
ProximalPhalanxOutlineAgeGroup,0.8390243902439024,0.0473630428314209,0.856585,0.37,0.09,-0.017560609756097634
ProximalPhalanxOutlineCorrect,0.9037800687285223,0.05568289756774902,0.894158,0.59,0.13,0.009622068728522337
ProximalPhalanxTW,0.8048780487804879,0.04553055763244629,0.802114,0.38,0.09,0.00276404878048786
RefrigerationDevices,0.456,0.17708730697631836,0.696978,0.75,0.47,-0.24097799999999997
Rock,0.78,0.23353290557861328,0.815333,0.45,0.27,-0.03533299999999995
ScreenType,0.44,0.1712021827697754,0.542222,0.75,0.47,-0.10222199999999998
SemgHandGenderCh2,0.895,0.4237232208251953,0.909889,1.14,1.54,-0.01488899999999993
SemgHandMovementCh2,0.68,0.42682576179504395,0.675037,1.6,1.17,0.004963000000000051
SemgHandSubjectCh2,0.86,0.414318323135376,0.878667,1.6,1.16,-0.01866699999999999
ShapeletSim,0.8833333333333333,0.08399248123168945,0.99963,0.14,0.2,-0.11629666666666671
ShapesAll,0.9133333333333333,0.18783855438232422,0.934778,1.0,0.58,-0.021444666666666667
SmallKitchenAppliances,0.8,0.17152905464172363,0.813333,0.74,0.47,-0.013332999999999928
SmoothSubspace,0.9266666666666666,0.027060747146606445,0.958,0.21,0.04,-0.031333333333333324
SonyAIBORobotSurface1,0.8119800332778702,0.04663276672363281,0.948031,0.09,0.25,-0.1360509667221298
SonyAIBORobotSurface2,0.8656873032528857,0.04407691955566406,0.941728,0.07,0.34,-0.07604069674711433
StarLightCurves,0.9821515298688683,1.9023473262786865,0.981221,2.57,13.21,0.0009305298688683239
Strawberry,0.981081081081081,0.12636470794677734,0.97982,0.78,0.25,0.001261081081081028
SwedishLeaf,0.9664,0.07800102233886719,0.962933,0.51,0.28,0.003466999999999998
Symbols,0.9748743718592965,0.14432525634765625,0.966834,0.11,0.91,0.008040371859296513
SyntheticControl,0.99,0.046541452407836914,0.990111,0.3,0.14,-0.00011099999999997223
ToeSegmentation1,0.9517543859649122,0.06142568588256836,0.941082,0.14,0.18,0.010672385964912268
ToeSegmentation2,0.9076923076923077,0.06223559379577637,0.94,0.16,0.12,-0.03230769230769226
Trace,1.0,0.059540510177612305,1.0,0.2,0.07,0.0
TwoLeadECG,0.9929762949956101,0.07262682914733887,0.997249,0.08,0.51,-0.004272705004389921
